institutionid,sectorperiodid,periodenddate,tcprimarysectorid,primarysectorname,tcsectorid,tcsectorname,di_324389_text,companyid,ticker,status,companytype,country,yearfounded,simpleindustry
100003,55AC85F1-1687-48AD-9728-C223CC0C1167,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul  7 2022  6:33AM,323261,BOKF,Operating,Public Company,United States,1910,Banks
100003,40180DC3-AC81-4456-8BD6-A62494336B8D,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Jul  7 2022  6:33AM,323261,BOKF,Operating,Public Company,United States,1910,Banks
100003,08993071-4ED7-4FE1-95A4-97BDD3283647,20211231,52A000,Monetary authorities and depository credit intermediation,525000,"Funds, trusts, and other financial vehicles",Jul  7 2022  6:33AM,323261,BOKF,Operating,Public Company,United States,1910,Banks
100134,ABBBFEDB-45BE-4FFB-81C3-2DB69ED50F12,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 17 2022 11:31AM,251652,AROW,Operating,Public Company,United States,1851,Banks
100173,B059EA98-6E64-44F6-9569-DAAD37E66932,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Jul  6 2022  6:47AM,316405,CATY,Operating,Public Company,United States,1962,Banks
100185,2EA50351-C965-45E4-972F-F16F222434F0,20211231,52A000,Monetary authorities and depository credit intermediation,523000,"Securities, commodity contracts, investments, and related activities",Mar 16 2022 12:00PM,262564,CBU,Operating,Public Company,United States,1866,Banks
100185,C460595D-2955-44AF-A17A-4D26B76DB835,20211231,52A000,Monetary authorities and depository credit intermediation,541610,"Management, scientific, and technical consulting services",Mar 16 2022 12:00PM,262564,CBU,Operating,Public Company,United States,1866,Banks
100185,B854BB8F-DBC1-4DF5-9487-F8E4FF323DA5,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 16 2022 12:00PM,262564,CBU,Operating,Public Company,United States,1866,Banks
100199,96EC1CAD-7B96-4D39-B601-151B5C106504,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,261215,CHCO,Operating,Public Company,United States,1957,Banks
100213,767F56B9-B4E3-4989-8F38-62A44586835B,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,171759,CPF,Operating,Public Company,United States,1954,Banks
100224,EDFF56B4-58BB-4EA0-B8CA-57A24D111BB0,20211231,522A00,Nondepository credit intermediation and related activities,522A00,Nondepository credit intermediation and related activities,Mar 10 2022 12:08PM,258064,CVBF,Operating,Public Company,United States,1974,Banks
100240,44139B4D-8BE9-4708-A371-3D9FCEDEE1D0,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022 12:43PM,271623,FBNC,Operating,Public Company,United States,1934,Banks
100255,38D8C72E-B077-4A59-9F23-48A6127369A5,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,272004,FFBC,Operating,Public Company,United States,1863,Banks
100265,E754E1A2-6D02-4A21-8765-547A05890C3B,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,272192,FLIC,Operating,Public Company,United States,1927,Banks
100319,48DAC76D-57FA-462B-99D5-2AF9CC86A149,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,279675,IBCP,Operating,Public Company,United States,1864,Banks
100325,090B00C4-8C28-4B01-8AE8-CB6E7AECA019,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 10 2022 12:08PM,279639,INDB,Operating,Public Company,United States,1907,Banks
100374,67F5EC6C-3716-4850-AB40-7A613EBE06D2,20211231,52A000,Monetary authorities and depository credit intermediation,52A000,Monetary authorities and depository credit intermediation,Mar 22 2022  6:51AM,289652,NBTB,Operating,Public Company,United States,1856,Banks
100396,43990667-6FED-4EAC-BA30-FA42275BE59D,20211231,52A000,Monetary authorities and depository credit intermediation,522A00,Nondepository credit intermediation and related activities,Mar 23 2022 10:39AM,316163,PRK,Operating,Public Company,United States,1908,Banks
