OrgID,FisYear,Score,CScore,ControversiesScore,ResourceUseScore,EmissionsScore,InnovationScore,WorkforceScore,HumanRightsScore,CommunityScore,ProductRespScore,ManagementScore,ShareholdersScore,CSRStrategyScore,OrgName,PrimExchg,tick
10295,2019,0.677258783,0.677258783,1,0.722477064,0.845041322,0,0.784644195,0.551948052,0.983146067,0.973568282,0.770983213,0.396882494,0.90397351,Imperial Oil Ltd,TOR,IMO
10295,2021,0.630801301,0.630801301,1,0.598814229,0.808243728,0,0.602990033,0.49009901,0.971760797,0.970260223,0.806352459,0.431352459,0.897183099,Imperial Oil Ltd,TOR,IMO
10295,2017,0.628874154,0.628874154,1,0.6875,0.881395349,0,0.635826772,0.46728972,0.87992126,0.951612903,0.732594937,0.460443038,0.781659389,Imperial Oil Ltd,TOR,IMO
10295,2022,,,,,,,,,,,,,,Imperial Oil Ltd,TOR,IMO
10295,2020,0.642132369,0.642132369,1,0.626033058,0.832075472,0,0.608013937,0.465789474,0.970383275,0.970703125,0.870798319,0.404411765,0.882089552,Imperial Oil Ltd,TOR,IMO
10295,2018,0.702988713,0.702988713,1,0.781407035,0.838636364,0,0.828740158,0.545081967,0.883858268,0.980676329,0.895962733,0.436335404,0.909465021,Imperial Oil Ltd,TOR,IMO
10625,2019,0.693216943,0.693216943,1,0.889945652,0.761971831,0.834319527,0.825117371,0.640672783,0.940140845,0.778920309,0.319815522,0.461673028,0.765694076,Deere & Company,NYS,DE
10625,2021,0.715788445,0.66503708,0.614285714,0.9192607,0.792471043,0.837443946,0.937392796,0.607296137,0.939108062,0.801818182,0.293188684,0.713128262,0.798666667,Deere & Company,NYS,DE
10625,2020,0.715660496,0.674903419,0.634146342,0.901727862,0.774229075,0.843065693,0.851123596,0.621749409,0.937265918,0.786720322,0.35953909,0.647753792,0.78002611,Deere & Company,NYS,DE
10625,2022,,,,,,,,,,,,,,Deere & Company,NYS,DE
10625,2017,0.649482199,0.649482199,1,0.68875502,0.424686193,0.803571429,0.678797468,0.502358491,0.941455696,0.800347222,0.457147755,0.683750429,0.555862069,Deere & Company,NYS,DE
