ticker,sector,industry,employees,description
CARV,Financial Services,Banks—Regional,109,"Carver Bancorp, Inc. operates as the holding company for Carver Federal Savings Bank that provides consumer and commercial banking services for consumers, businesses, non-profit organizations, and governmental and quasi-governmental agencies primarily in New York. It accepts various deposit products, including demand, savings, and time deposits; passbook and statement accounts, and certificates of deposit; and individual retirement accounts. The company also provides lending products, such as one-to-four family residential, multifamily real estate, and commercial real estate lending; and construction, business and small business administration, and consumer and other loans. In addition, it offers other consumer and commercial banking products and services, including debit cards, online account opening and banking, online bill pay, and telephone banking, as well as check cashing, wire transfer, bill payment, reloadable prepaid card, and money order services. The company operates through one administrative office, seven branches, and four ATMs. Carver Bancorp, Inc. was founded in 1948 and is headquartered in New York, New York."
ONCR,Healthcare,Biotechnology,82,"Oncorus, Inc., a clinical-stage biopharmaceutical company, focuses on developing viral immunotherapies for cancer patients. The company's lead product candidate is ONCR-177, an intratumorally administered viral immunotherapy based on its oncolytic herpes simplex virus type 1 platform, which is in Phase I clinical trials for treating various cancers. It is also developing ONCR-GBM, a preclinical stage oHSV program for treating brain cancer through intratumoral injection; and synthetic viral immunotherapies based on Coxsackievirus A21 and Seneca Valley Virus. The company has a clinical trial collaboration and supply agreement with MSD International GmbH to evaluate the safety and tolerability of ONCR-177 combined with Merck's cancer immunotherapy KEYTRUDA in its Phase 1 clinical trial in patients with solid tumors. Oncorus, Inc. was incorporated in 2015 and is headquartered in Cambridge, Massachusetts."
LHCG,Healthcare,Medical Care Facilities,"29,000","LHC Group, Inc., a health care provider, specializes in the post-acute continuum of care primarily for Medicare beneficiaries in the United States. It operates through five segments: Home Health Services, Hospice Services, Home and Community-Based Services, Facility-Based Services, and Healthcare Innovations (HCI). The Home Health Services segment offers skilled nursing, medically oriented social services and physical, occupational, and speech therapy. The Hospice Services segment provides pain and symptom management accompanied by palliative medication, emotional and spiritual support, inpatient and respite care, homemaker services, dietary counseling, family bereavement counseling, and social worker visits. Its Home and Community-Based Services segment offers range of services, such as assistance with grooming, medication reminders, meal preparation, assistance with feeding, light housekeeping, respite care, transportation, and errand. The Facility-Based Services segment treats patients with severe medical conditions who require a high-level of care and frequent monitoring by physicians and other clinical personnel. This segment serves patients suffering from respiratory failure, neuromuscular and cardiac disorders, non-healing wounds, renal disorders, cancer, head and neck injuries, and mental disorders, as well as treats patients diagnosed with musculoskeletal impairments; and operates nursing facilities, family health center, rural health clinic, and physician practice, as well as offers physical therapy services. The HCI segment provides strategic health management services to accountable care organizations. As of December 31, 2021, it operated 557 home health services locations, 170 hospice locations, 136 community-based service locations, 11 long-term acute care hospitals with 12 locations, and 14 HCI locations. The company was founded in 1994 and is based in Lafayette, Louisiana."
WIRE,Industrials,Electrical Equipment & Parts,"1,440","Encore Wire Corporation manufactures and sells electrical building wires and cables for interior electrical wiring in the United States. The company's products include NM-B cables for use as interior wiring in homes, apartments, and manufactured housing; THHN/THWN-2 cables and metal-clad and armored cables for use as wiring in commercial and industrial buildings; UF-B cables; XHHW-2 cables; RHH/RHW-2 cables; USE-2 cables; and other types of wire products. It sells its products to wholesale electrical distributors primarily through independent manufacturers' representatives. Encore Wire Corporation was incorporated in 1989 and is headquartered in McKinney, Texas."
CAH,Healthcare,Medical Distribution,"45,570","Cardinal Health, Inc. operates as an integrated healthcare services and products company in the United States, Canada, Europe, Asia, and internationally. It provides customized solutions for hospitals, healthcare systems, pharmacies, ambulatory surgery centers, clinical laboratories, physician offices, and patients in the home. The company operates in two segments, Pharmaceutical and Medical. The Pharmaceutical segment distributes branded and generic pharmaceutical, specialty pharmaceutical, and over-the-counter healthcare and consumer products. The segment also provides services to pharmaceutical manufacturers and healthcare providers for specialty pharmaceutical products; operates nuclear pharmacies and radiopharmaceutical manufacturing facilities; repackages generic pharmaceuticals and over-the-counter healthcare products; and offers medication therapy management and patient outcomes services to hospitals, other healthcare providers, and payers, as well as provides pharmacy management services to hospitals. The Medical segment manufactures, sources, and distributes Cardinal Health branded medical, surgical, and laboratory products and devices that include exam and surgical gloves; needles, syringe, and sharps disposals; compressions; incontinences; nutritional delivery products; wound care products; single-use surgical drapes, gowns, and apparels; fluid suction and collection systems; urology products; operating room supply products; and electrode product lines. The segment also distributes a range of national brand products, including medical, surgical, and laboratory products; provides supply chain services and solutions to hospitals, ambulatory surgery centers, clinical laboratories, and other healthcare providers; and assembles and sells sterile, and non-sterile procedure kits. The company was incorporated in 1979 and is headquartered in Dublin, Ohio."
BLGI,Technology,Software—Infrastructure,,"BLGI, Inc. focuses on developing block chain technology for digital currency applications and mining. The company was formerly known as Black Cactus Global, Inc. and changed its name to BLGI, Inc. in October 2020. BLGI, Inc. was founded in 2013 and is headquartered in Las Vegas, Nevada."
PGR,Financial Services,Insurance—Property & Casualty,"49,077","The Progressive Corporation, an insurance holding company, provides personal and commercial auto, personal residential and commercial property, general liability, and other specialty property-casualty insurance products and related services in the United States. It operates in three segments: Personal Lines, Commercial Lines, and Property. The Personal Lines segment writes insurance for personal autos and recreational vehicles (RV). This segment's products include personal auto insurance; and special lines products, including insurance for motorcycles, ATVs, RVs, watercrafts, snowmobiles, and related products. The Commercial Lines segment provides auto-related primary liability and physical damage insurance, and business-related general liability and property insurance for autos, vans, pick-up trucks, and dump trucks used by small businesses; tractors, trailers, and straight trucks primarily used by regional general freight and expeditor-type businesses, and long-haul operators; dump trucks, log trucks, and garbage trucks used by dirt, sand and gravel, logging, and coal-type businesses; and tow trucks and wreckers used in towing services and gas/service station businesses; as well as non-fleet and airport taxis, and black-car services. The Property segment writes residential property insurance for homeowners, other property owners, and renters, as well as offers personal umbrella insurance, and primary and excess flood insurance. The company also offers policy issuance and claims adjusting services; and acts as an agent to homeowner general liability, workers' compensation insurance, and other products. In addition, it provides reinsurance services. The company sells its products through independent insurance agencies, as well as directly on Internet through mobile devices, and over the phone. The Progressive Corporation was founded in 1937 and is headquartered in Mayfield, Ohio."
ALTX,Energy,Oil & Gas E&P,,"Altex Industries, Inc., through its subsidiary, Altex Oil Corporation, owns interests in productive onshore oil and gas properties located in Utah and Wyoming. As of September 30, 2021, it had 1,000 barrels of proved and developed oil reserves. The company was incorporated in 1985 and is based in Denver, Colorado."
WESC,Consumer Cyclical,Travel Services,,"W&E Source Corp. provides air ticket reservation, hotel reservation, and other travel related services in the United States. The company offers airline and cruise ticketing, customized and packaged tours, travel blogs, travel magazines, business and conference travel arrangements, car rental, and admission ticket sale services for local tourist attractions. It also sells travel related merchandise. The company was formerly known as News of China, Inc. and changed its name to W&E Source Corp. in January 2012. W&E Source Corp. was incorporated in 2005 and is based in Newark, Delaware."
VINO,Real Estate,Real Estate—Diversified,85,"Gaucho Group Holdings, Inc., through its subsidiaries, invests in, develops, and operates real estate projects in Argentina. The company owns and operates boutique hotel, hospitality, and luxury vineyard property market; a resort and winery property, 9-hole golf course, tennis courts, dining, and a hotel. It also manufactures and sells leather goods, ready-to-wear and fashion products, and accessories through e-commerce platforms. The company was formerly known as Algodon Group, Inc. and changed its name to Gaucho Group Holdings, Inc. in March 2019. Gaucho Group Holdings, Inc. was incorporated in 1999 and is based in Miami, Florida."
