ticker,total ESG score,,,,,
TSQ,20.5,,,,,
NOG,62.1,,,,,
ROCC,62,,,,,
MUX,59.8,,,,,
ESTE,57.8,,,,,
NRP,57.5,,,,,
ARCH,55.9,,,,,
MTDR,55.9,,,,,
HNRG,55.8,,,,,
MNRL,55.2,,,,,
REI,54.6,,,,,
GATO,53.6,,,,,
ARLP,52.9,,,,,
IEP,52.8,,,,,
REPX,52.8,,,,,
BTU,52.8,,,,,
MGY,52.1,,,,,
CEIX,52.1,,,,,
BRY,51.9,,,,,
BATL,50.9,,,,,
CNX,50.5,,,,,
ZEUS,49.4,,,,,
CLR,49,,,,,
BBIG,48.9,,,,,
KROS,48.6,,,,,
MMLP,47.9,,,,,
UEC,47.8,,,,,
LXU,47.6,,,,,
AMTX,47.6,,,,,
CLMT,47.4,,,,,
BYRN,47.1,,,,,
UTZ,47.1,,,,,
OTTR,47.1,,,,,
AVTX,47,,,,,
GWRS,46.8,,,,,
BYND,46.7,,,,,
UAVS,46.6,,,,,
SM,46.4,,,,,
OVV,46.3,,,,,
PARR,46.1,,,,,
CPE,46.1,,,,,
CTRA,46,,,,,
FANG,45.9,,,,,
KTOS,45.8,,,,,
APA,45.8,,,,,
CTSO,45.8,,,,,
PBF,45.7,,,,,
SWTX,45.6,,,,,
CRK,45.4,,,,,
CHCI,45.4,,,,,
SGU,45.2,,,,,
IPI,45.1,,,,,
KOPN,44.9,,,,,
LPI,44.9,,,,,
GEL,44.9,,,,,
PPC,44.8,,,,,
ETNB,44.8,,,,,
CBAY,44.8,,,,,
VRCA,44.7,,,,,
AMPE,44.6,,,,,
OYST,44.6,,,,,
IGMS,44.5,,,,,
CGEM,44.3,,,,,
CIVI,44.1,,,,,
PHAT,44.1,,,,,
NFG,43.9,,,,,
ARQT,43.9,,,,,
ARCT,43.9,,,,,
ACMR,43.9,,,,,
MX,43.8,,,,,
NLTX,43.8,,,,,
FRPT,43.7,,,,,
MTSI,43.6,,,,,
STXS,43.6,,,,,
TTCF,43.5,,,,,
CVI,43.5,,,,,
REX,43.4,,,,,
SMLP,43.4,,,,,
RLMD,43.3,,,,,
HCC,43.3,,,,,
STIM,43.3,,,,,
TPC,43.2,,,,,
VMI,43.2,,,,,
CENX,43.1,,,,,
AVD,43.1,,,,,
CIR,43,,,,,
KALV,42.9,,,,,
MRNS,42.9,,,,,
VAPO,42.8,,,,,
ROAD,42.8,,,,,
NNBR,42.8,,,,,
MASS,42.8,,,,,
ANIP,42.8,,,,,
PRTK,42.8,,,,,
ACRS,42.6,,,,,
VATE,42.5,,,,,
IMVT,42.5,,,,,
UTL,42.4,,,,,
TWNK,42.4,,,,,
SPCE,42.3,,,,,
RPTX,42.3,,,,,
KNSA,42.2,,,,,
AWH,42.2,,,,,
SPH,42.2,,,,,
MRO,42,,,,,
DRRX,41.9,,,,,
PCRX,41.6,,,,,
MTRN,41.5,,,,,
AHCO,41.5,,,,,
IBRX,41.4,,,,,
ATCX,41.3,,,,,
VHI,41.2,,,,,
ACA,41.2,,,,,
YORW,41.2,,,,,
RKLB,41.2,,,,,
BRBS,41.2,,,,,
SXC,41.1,,,,,
AMPH,41.1,,,,,
AJRD,41.1,,,,,
RPM,41,,,,,
GE,41,,,,,
NKTR,41,,,,,
MDVL,41,,,,,
AMRX,41,,,,,
PBFX,40.9,,,,,
TXMD,40.9,,,,,
RVMD,40.8,,,,,
ORMP,40.8,,,,,
GTBP,40.8,,,,,
AGX,40.8,,,,,
JJSF,40.7,,,,,
IMUX,40.7,,,,,
AXON,40.7,,,,,
KMPH,40.6,,,,,
CGC,40.6,,,,,
BLBD,40.5,,,,,
ONCT,40.4,,,,,
HI,40.4,,,,,
EYPT,40.4,,,,,
PAHC,40.4,,,,,
OLN,40.4,,,,,
HYFM,40.3,,,,,
RYI,40.3,,,,,
SIGA,40.3,,,,,
USLM,40.2,,,,,
STKL,40.1,,,,,
CLNE,40.1,,,,,
AOSL,40.1,,,,,
KWR,40,,,,,
ALLK,39.9,,,,,
SITM,39.9,,,,,
IPAR,39.9,,,,,
GRTS,39.8,,,,,
CALM,39.8,,,,,
DNMR,39.7,,,,,
WTI,39.7,,,,,
PRVB,39.6,,,,,
ALGT,39.6,,,,,
SILK,39.4,,,,,
CDZI,39.4,,,,,
TBPH,39.4,,,,,
CCLP,39.3,,,,,
USAC,39.3,,,,,
MGTA,39.2,,,,,
IESC,39.2,,,,,
PBH,39.2,,,,,
CDXS,39.2,,,,,
RCEL,39.1,,,,,
AR,39,,,,,
TDG,39,,,,,
CLPT,39,,,,,
TNDM,39,,,,,
FLO,38.9,,,,,
ARAY,38.9,,,,,
LSF,38.9,,,,,
SAVA,38.8,,,,,
LMNR,38.8,,,,,
AMRS,38.8,,,,,
FDP,38.7,,,,,
CRON,38.7,,,,,
CVGI,38.6,,,,,
ORIC,38.6,,,,,
LUNG,38.6,,,,,
SXI,38.5,,,,,
CUTR,38.5,,,,,
AC,38.4,,,,,
OTLK,38.4,,,,,
SFST,38.4,,,,,
MBIO,38.3,,,,,
STRL,38.3,,,,,
LPG,38.3,,,,,
MVBF,38.2,,,,,
APLS,38.2,,,,,
NRIM,38.2,,,,,
CELH,38.1,,,,,
CVX,38,,,,,
CCB,38,,,,,
AMRC,38,,,,,
CVGW,38,,,,,
HY,38,,,,,
SGRY,37.9,,,,,
GDEN,37.9,,,,,
LCI,37.8,,,,,
ATER,37.8,,,,,
COKE,37.7,,,,,
HCI,37.7,,,,,
VERU,37.6,,,,,
